genre,name,title,id_album_deezer,deezerFans
Pop,Agnetha Fältskog,I Stand Alone,80279.0,417.0
Pop,Agnetha Fältskog,That's Me - The Greatest Hits,125525.0,547.0
Pop,Agnetha Fältskog,My Colouring Book,89535.0,714.0
Pop,Agnetha Fältskog,A,6575592.0,3560.0
Pop,Agnes Carlsson,Agnes,75003.0,1165.0
Pop,Agnes Carlsson,Stronger,438280.0,597.0
Pop,Agnes Carlsson,Dance Love Pop,89535.0,714.0
Pop,Agnes Carlsson,Veritas,6575592.0,3560.0
Electro,Agonised By Love,All Of White Horizons,1083450.0,5.0
Grindcore,Agonia,Ritual Sadismo,12893220.0,0.0
Industrial,Agonoize,Assimilation: Chapter One,4299101.0,245.0
Industrial,Agonoize,999,4342371.0,273.0
Industrial,Agonoize,Evil Gets An Upgrade,4342281.0,198.0
Industrial,Agonoize,Assimilation: Chapter Two,4299101.0,245.0
Industrial,Agonoize,Ultraviolent Six,5126471.0,172.0
Industrial,Agonoize,Sieben,4299591.0,444.0
Industrial,Agonoize,For The Sick And Disturbed,5140351.0,173.0
Industrial,Agonoize,Hexakosioihexekontahexa,5140791.0,602.0
Acoustic,Agora,Silencio Acústico,7028380.0,56.0
Techno,Agoria,Blossom,11941998.0,75.0
Techno,Agoria,The Green Armchair,352707.0,3902.0
Techno,Agoria,Go Fast,371511.0,1276.0
Grindcore,Agoraphobic Nosebleed,Honky Reduction,1004025.0,51.0
Grindcore,Agoraphobic Nosebleed,Frozen Corpse Stuffed With Dope,1052601.0,69.0
Grindcore,Agoraphobic Nosebleed,Altered States Of America,1007063.0,96.0
Grindcore,Agoraphobic Nosebleed,Agorapocalypse,1008896.0,233.0
Ambient,Agua De Annique,Pure Air,11988340.0,193.0
Ambient,Agua De Annique,In Your Room,12008488.0,85.0
Folk,Ahmet Kaya,Ağlama Bebeğim,702128.0,5076.0
Folk,Ahmet Kaya,Acılara Tutunmak,702001.0,6076.0
